timesteps,ep_rew_mean,ep_len_mean
32513,0.9557,12.6
32525,0.9557,12.6
32537,0.9557,12.6
32549,0.9561,12.5
32562,0.9561,12.5
32575,0.9564,12.4
32587,0.9564,12.4
32599,0.9564,12.4
32611,0.9568,12.3
32623,0.9568,12.3
32635,0.9571,12.2
32647,0.9571,12.2
32659,0.9571,12.2
32671,0.9571,12.2
32683,0.9575,12.1
32696,0.9575,12.1
32708,0.9575,12.1
32720,0.9575,12.1
32733,0.9571,12.2
32745,0.9571,12.2
32758,0.9568,12.3
32771,0.9564,12.4
32783,0.9564,12.4
32795,0.9564,12.4
32807,0.9564,12.4
32819,0.9568,12.3
